Scenario,Answer,Bloom,Group,Prompt,Source / evidence,Sub-Issue (taxonomy),Subject,Task ID,Track
BIZ-05 · Taught/tested before explaining (CAC payback),Let's build it up. CAC is what you spend to win one customer (sales + marketing ÷ new customers). Payback period is how many months of that customer's revenue it takes to earn that cost back. 💡 Gut check before we calculate: would a shorter payback be better or worse for your cash flow?,Understand,Pacing & scaffolding,"Lesson on CAC payback just opened. Tutor: 'Ready to look at CAC payback?' Student: ""ready""",Tutor Issue Taxonomy → Pacing & scaffolding / 'Taught/tested before explaining'.,Taught/tested before explaining,Unit economics · CAC payback,BIZ-05,Biz
BIZ-03 · Challenge answer leak (churn),"Challenge mode, so I'll nudge not tell 🙂 — are we counting the customers who stay, or the ones who leave? The word names the leavers. What fits?",Understand,Tutor accuracy,"[challenge mode] Tutor asked: 'Term for the % of customers who cancel or stop paying in a period?' Student: ""small hint?""",Tutor Issue Taxonomy → Tutor accuracy / 'Challenge format broken'.,Challenge format broken,SaaS metrics · Retention,BIZ-03,Biz
BIZ-04 · Lost track / target-switch (TAM),"$60B is a reasonable TAM ballpark — total global demand if every potential buyer purchased. 🎯 How did you land on it, top-down (market reports) or bottom-up (buyers × price)?",Analyze,Tutor accuracy,"Tutor asked for TAM. Student: ""For PM software, TAM is roughly $60B globally.""",Tutor Issue Taxonomy → Tutor accuracy / 'Tutor lost track / target-switch'.,Tutor lost track / target-switch,Market Sizing · TAM,BIZ-04,Biz
SWE-09 · Emotional attunement miss (stuck 2h),"Two hours on one bug is genuinely draining — that frustration makes total sense, and it's not a sign you're not cut out for this. 💛 Let's beat it together: paste what you've got and where it breaks, and we'll take it one line at a time.",Understand,Tone & empathy,"Student: ""I've been stuck on this same bug for two hours and I'm about to quit the whole program.""","Tutor Issue Taxonomy → Tone & empathy / 'Emotional attunement miss'. Maestro rule: every message reflects genuine care; smart friend, not lecturer.",Emotional attunement miss (ignores distress cue),Debugging (general),SWE-09,AI SWE
SWE-04 · Lost track / target-switch (sum_amounts),That's a clean sum_amounts — the generator expression totals every amount in one pass. ✅ Quick edge case: what happens if one record is missing the amount key?,Analyze,Tutor accuracy,"Tutor asked for sum_amounts(). Student submits a correct sum_amounts() using a generator expression over r[""amount""].",Tutor Issue Taxonomy → Tutor accuracy / 'Tutor lost track / target-switch'.,Tutor lost track / target-switch,Python · Functions / refactor,SWE-04,AI SWE
BIZ-06 · Scaffolding gap (GTM plan),"Totally fair — let me model one slice first. 👇 Say the product is a budgeting app: a target segment could be ""freelancers with irregular income,"" and a channel to reach them might be finance creators on TikTok. See the pattern — segment + how you reach them? Now name one segment for your product.",Apply,Pacing & scaffolding,"Tutor gave only a definition, then asked the student to draft a full GTM plan. Student: ""I don't even know where to start — you gave me a definition, not an example.""",Tutor Issue Taxonomy → Pacing & scaffolding / 'Scaffolding gap (too fast to independent)'.,Scaffolding gap (too fast to independent),Go-to-market,BIZ-06,Biz
SWE-01 · Validated wrong work (sum_evens),"It runs clean, no errors there. But let's pressure-test it: if nums = [1, 2, 3, 4], what does your function return — and what should sum_evens give back? 🤔 Spot the gap?",Evaluate,Tutor accuracy,"Mastery: returns sum of only the even numbers. Student submits def sum_evens(nums): return sum(nums) and says: ""done — works right?""","Tutor Issue Taxonomy → Tutor accuracy / 'Tutor validated wrong work'. Maestro rule: 'Prioritize accuracy over validating the student's beliefs'; 'when the student is wrong, ask a question that reveals the gap.'",Tutor validated wrong work,Python · Functions,SWE-01,AI SWE
SWE-05 · Taught/tested before explaining (HTTP headers),"Let's start simple. Picture an HTTP request like mailing a package 📦 — the body is what's inside, and the headers are the label outside telling the server how to handle it (format, who's sending, and so on).

---

Before we pick one: why might the server need to know the format of what you're sending?",Understand,Pacing & scaffolding,"Lesson on HTTP headers just opened. Tutor: 'Ready to dig into HTTP headers?' Student: ""ready""",Tutor Issue Taxonomy → Pacing & scaffolding / 'Taught/tested before explaining'. Maestro rule: 'show before tell'; give a simple explanation first.,Taught/tested before explaining,Backend · HTTP headers,SWE-05,AI SWE
BIZ-07 · Placeholder syntax (LTV formula),LTV = ARPU × gross margin % × average customer lifespan (in months). Drop your numbers into each piece — want to walk one through together? 🎯,Apply,Instructional clarity,"Student: ""just give me the LTV formula template I can plug numbers into.""",Tutor Issue Taxonomy → Instructional clarity / 'Placeholder syntax confusion'.,Placeholder syntax confusion,Unit economics · LTV,BIZ-07,Biz
BIZ-08 · Unsignaled mode/instruction shift (sizing → pricing),"Perfect. Let's shift gears now — from sizing the market to pricing for it. 💰 First question on the new topic: should price track what it costs you to deliver, or the value the customer gets? Why?",Understand,Instructional clarity,"Tutor just wrapped up SOM. Student: ""got it"". Tutor now moves to pricing.",Tutor Issue Taxonomy → Instructional clarity / 'Unsignaled mode/instruction shift'.,Unsignaled mode/instruction shift,Pricing,BIZ-08,Biz
